,t,controller,scenario,rollout,measurement,value,unsafe
0,0.0,Nominal,0,0,X,0.0,
1,0.0,Nominal,0,0,XDOT,4.0,
2,0.0,Nominal,0,0,Y,7.0,
3,0.0,Nominal,0,0,YDOT,-2.0,
4,0.0,Nominal,0,0,PHI,-0.7853981633974483,
5,0.0,Nominal,0,0,PHIDOT,0.0,
6,0.0,Nominal,0,0,T1,0.0,
7,0.0,Nominal,0,0,T2,18.393749237060547,
8,0.01,Nominal,0,0,X,0.04,
9,0.01,Nominal,0,0,XDOT,4.048025379267882,
10,0.01,Nominal,0,0,Y,6.98,
11,0.01,Nominal,0,0,YDOT,-2.0440746207321183,
12,0.01,Nominal,0,0,PHI,-0.7853981633974483,
13,0.01,Nominal,0,0,PHIDOT,0.18393749237060547,
14,0.01,Nominal,0,0,T1,0.0,
15,0.01,Nominal,0,0,T2,18.393749237060547,
16,0.02,Nominal,0,0,X,0.08048025379267881,
17,0.02,Nominal,0,0,XDOT,4.096002733156496,
18,0.02,Nominal,0,0,Y,6.959559253792679,
19,0.02,Nominal,0,0,YDOT,-2.0881051668435044,
20,0.02,Nominal,0,0,PHI,-0.7835587884737425,
21,0.02,Nominal,0,0,PHIDOT,0.36783350683668137,
22,0.02,Nominal,0,0,T1,0.0,
23,0.02,Nominal,0,0,T2,18.393749237060547,
24,0.03,Nominal,0,0,X,0.12144028112424377,
25,0.03,Nominal,0,0,XDOT,4.143836327558449,
26,0.03,Nominal,0,0,Y,6.938678202124244,
27,0.03,Nominal,0,0,YDOT,-2.131996076293429,
28,0.03,Nominal,0,0,PHI,-0.7798804534053758,
29,0.03,Nominal,0,0,PHIDOT,0.5516880527514951,
30,0.03,Nominal,0,0,T1,0.5172933957163348,
31,0.03,Nominal,0,0,T2,18.393749237060547,
32,0.04,Nominal,0,0,X,0.16287864439982824,
33,0.04,Nominal,0,0,XDOT,4.192885050374526,
34,0.04,Nominal,0,0,Y,6.91735824136131,
35,0.04,Nominal,0,0,YDOT,-2.1741812559412566,
36,0.04,Nominal,0,0,PHI,-0.7743635728778608,
37,0.04,Nominal,0,0,PHIDOT,0.7303282055090418,
38,0.04,Nominal,0,0,T1,6.018787064233349,
39,0.04,Nominal,0,0,T2,18.393749237060547,
40,0.05,Nominal,0,0,X,0.2048074949035735,
41,0.05,Nominal,0,0,XDOT,4.256975128581975,
42,0.05,Nominal,0,0,Y,6.8956164288018975,
43,0.05,Nominal,0,0,YDOT,-2.200300285708006,
44,0.05,Nominal,0,0,PHI,-0.7670602908227702,
45,0.05,Nominal,0,0,PHIDOT,0.8539131382269715,
46,0.05,Nominal,0,0,T1,9.65774528349314,
47,0.05,Nominal,0,0,T2,18.393749237060547,
48,0.06,Nominal,0,0,X,0.24737724618939325,
49,0.06,Nominal,0,0,XDOT,4.330591546663512,
50,0.06,Nominal,0,0,Y,6.873613425944818,
51,0.06,Nominal,0,0,YDOT,-2.2154168427047196,
52,0.06,Nominal,0,0,PHI,-0.7585211594405004,
53,0.06,Nominal,0,0,PHIDOT,0.9410806203499753,
54,0.06,Nominal,0,0,T1,12.066614161581795,
55,0.06,Nominal,0,0,T2,18.393749237060547,
56,0.07,Nominal,0,0,X,0.29068316165602837,
57,0.07,Nominal,0,0,XDOT,4.410069449750776,
