,t,controller,scenario,rollout,measurement,value,unsafe
0,0.0,Nominal,0,0,X,15.0,
1,0.0,Nominal,0,0,XDOT,-3.0,
2,0.0,Nominal,0,0,Y,2.5,
3,0.0,Nominal,0,0,YDOT,-2.0,
4,0.0,Nominal,0,0,PHI,0.7853981633974483,
5,0.0,Nominal,0,0,PHIDOT,1.0,
6,0.0,Nominal,0,0,T1,16.826846678646508,
7,0.0,Nominal,0,0,T2,11.82969739014203,
8,0.01,Nominal,0,0,X,14.97,
9,0.01,Nominal,0,0,XDOT,-3.078052946545646,
10,0.01,Nominal,0,0,Y,2.48,
11,0.01,Nominal,0,0,YDOT,-2.015047053454354,
12,0.01,Nominal,0,0,PHI,0.7953981633974481,
13,0.01,Nominal,0,0,PHIDOT,0.9498030071149552,
14,0.01,Nominal,0,0,T1,16.91001483977258,
15,0.01,Nominal,0,0,T2,11.816321881467449,
16,0.02,Nominal,0,0,X,14.939219470534544,
17,0.02,Nominal,0,0,XDOT,-3.157033671050516,
18,0.02,Nominal,0,0,Y,2.4598495294654565,
19,0.02,Nominal,0,0,YDOT,-2.0306982088657084,
20,0.02,Nominal,0,0,PHI,0.8048961934685979,
21,0.02,Nominal,0,0,PHIDOT,0.8986518969537995,
22,0.02,Nominal,0,0,T1,16.988977837075012,
23,0.02,Nominal,0,0,T2,11.809035896220836,
24,0.03,Nominal,0,0,X,14.907649133824039,
25,0.03,Nominal,0,0,XDOT,-3.2369023119503084,
26,0.03,Nominal,0,0,Y,2.4395425473767993,
27,0.03,Nominal,0,0,YDOT,-2.0469179841599,
28,0.03,Nominal,0,0,PHI,0.8138827124381356,
29,0.03,Nominal,0,0,PHIDOT,0.8466498315424947,
30,0.03,Nominal,0,0,T1,17.063873147783752,
31,0.03,Nominal,0,0,T2,11.807612204483661,
32,0.04,Nominal,0,0,X,14.875280110704535,
33,0.04,Nominal,0,0,XDOT,-3.3176189347536114,
34,0.04,Nominal,0,0,Y,2.4190733675352005,
35,0.04,Nominal,0,0,YDOT,-2.063669059367201,
36,0.04,Nominal,0,0,PHI,0.8223492107535604,
37,0.04,Nominal,0,0,PHIDOT,0.793896302572481,
38,0.04,Nominal,0,0,T1,17.13483267392907,
39,0.04,Nominal,0,0,T2,11.811823563445829,
40,0.05,Nominal,0,0,X,14.842103921357,
41,0.05,Nominal,0,0,XDOT,-3.3991435590861263,
42,0.05,Nominal,0,0,Y,2.3984366769415284,
